ID,Name,Description,ColumnSpec
1,One,,
2,Two,,
3,Three,,
4,Four,,
5,Five,,
6,Six,,
7,Seven,,
8,Eight,,
9,Nine,,
10,Ten,,
11,First,,
12,Second,,
13,Third,,
14,Fourth,,
15,Fifth,,
16,Sixth,,
17,Seventh,,
18,Eighth,,
19,Nineth,,
20,Tenth,,
21,Eleventh,,
22,Twelfth,,
23,Thirteenth,,
24,Fourteenth,,
25,Fifteenth,,
26,Sixteenth,,
27,Seventeenth,,
28,Eighteenth,,
29,Nineteenth,,
30,Twentieth,,
31,Twenty first,,
32,Twenty second,,
33,1/2,,
34,2/3,,
35,3/4,,
36,1/4,,
37,1/5,,
38,2/7,,
39,3/7,,
40,3/5,,
41,2/6,,
42,1/16,,
43,1/10,,
44,Once,,
45,Twice,,
46,Thrice (three times),,
47,Four times,,
48,Nine times,,
49,Twenty five times,,
50,Fifteen times,,
51,only one,,
52,only two,,
53,only three,,
54,only four,,
55,only five,,
56,only ten,,
57,one each,,
58,three each,,
59,five each,,
60,one-by-one,,
61,two-by-two,,
62,Approximately,,
63,Group/together,,
64,Pair,,
65,Dozen,,
66,Half a dozen,,
